Luis Antonio Castro Santos
Abílio Baeta Neves
Eli Diniz
Fernando Novais
José Pierre Sanchis
Roque de Barros Laraia
Ruth Cardoso
Sílvio Maranhão
Afrânio Garcia
Ariosto Holanda
Clovis Cavalcanti
Cristóvão Buarque
Elbio Troccoli Pakman
Francisco de Oliveira
Jean Hebette
Inaiá Maria Moreira de Carvalho
Telmo Rudi Frantz
Júri do Concurso de Obras e Teses
Boris Fausto
Eduardo Viola
Eunice Durham
José Murilo de Carvalho
Leôncio Martins
Vilma Figueiredo
Mário Brockmann Machado
Vilma Figueiredo
Ruth Cardoso
Eunice Durham
Fernando Correa Dias
José Murilo de Carvalho
Maria Hermínia Tavares Almeida
Silke Weber
Suzana Soares
André Villa-Lobos
Antônio Luiz Paixão
Bolívar Lamounier
Joaquim Falcão
Manuela Carneiro da Cunha
Rüben Oliven
Wanderley Guilherme dos Santos
Anita Brumer
Aspásia Camargo
Charles Pessanha
Laura da Veiga
Lícia Valladares
Mariza Corrêa
Rosa Godoy da Silveira
Alice Rangel de Paiva Abreu
Fernando Novaes
Heraldo Souto-Maior
Klaas Woortmann
Lígia Sigaud
Maria Victoria Benevidcs
Júri do Concurso de Obras e Teses
Francisco Iglesias
Mário Brockmann Machado
Roque de Barros Laraia
Ruth Cardoso
Vilma Figueiredo
