Heloisa Pontes,UNICAMP
José Ricardo Ramalho,UFRJ
Julio Assis Simões  - Editor,USP
Márcia Lima,USP
Marco Aurélio Nogueira,UNESP
Marcos Cesar Alvarez,USP
Maria Filomena Gregori,UNICAMP
Adriana Resende Barreto Vianna,UFRJ
André Pereira Botelho,UFRJ
Ângela Alonso,USP
Bernard Manin,New York University
Carmen Silvia Rial,UFSC
Celi Regina Jardim Pinto,UFRGS
Claudia Lee Fonseca,UFRGS
Eduardo Garuti Noronha,UFSCar
Fabio Wanderley Reis,UFMG
Guilherme Simões Gomes Jr.,PUC-SP
Irlys Alencar Firmo Barreira,UFC
Jane Felipe Beltrão,UFPA
Luiz Roberto Cardoso de Oliveira,UNB
Manuel Villaverde Cabral,Universidade de Lisboa
Marcelo Gantus Jasmin,IUPERJ
Marcus André de Mello,UFPE
Miriam Cristina Marcilio Rabelo,UFBA
Nadya Araújo Guimarães,USP
Renato Monseff Perissinoto,UFPR
Verena Stolcke,Universidad Autonoma de Barcelona
Márcia Lima  - Editor,USP
Bila Sorj,UFRJ
Sergio Carrara,UERJ
Argelina Cheibub Figueiredo,IUPERJ
Leôncio Martins Rodrigues,UNICAMP
Luiz Werneck Vianna,IUPERJ
Marcelo Ridenti,UNICAMP
Roque de Barros Laraia,UNB
Rubem Oliven,UFRGS
Tullo Vigevani,UNESP
Antonio Carlos Souza Lima,MN/UFRJ
Bila Sorj,UFRJ
Cesar Barreira,UFC
Luiz Roberto Cardoso de Oliveira,UnB
Marcelo Gantus Jasmin,IUPERJ
Maria Rita Loureiro,FGV/SP
Milton Lahuerta,UNESP
Omar Ribeiro Thomaz,UNICAMP
Ruben Barboza Filho,UFJF
Ana Paula Cavalcanti Simeoni,USP
Cornelia Eckert,UFRGS
Vera Chaia,PUC-SP
Peter Fry,UFRJ
Renato Lessa,IUPERJ
Sergio Miceli,USP
Carlos Benedito Martins,UnB
Marcio Ferreira da Silva,USP
Mônica Herz,PUC-Rio
Gustavo Lins Ribeiro,UnB
Maria Tereza Sadek,USP
Ricardo Benzaquen Araujo,IUPERJ
Gildo Marçal Brandão  - Editor,USP
Angela Alonso,USP
Cláudio Couto,PUC-SP
Lilia Schwarcz,USP
Nadya Guimarães,USP
Julio Assis Simões,USP
Alex Fiúza de Melo,UFPA
Anete Brito Leal Ivo,UFBA
Bruno Wanderley Reis,UFMG
Fernando Antonio Azevedo,UFSCar
Guita Grin Debert,UNICAMP
Luiz Fernando Dias Duarte,MN/UFRJ
Marco Aurélio Nogueira,UNESP
Marcos Chor Maio,FIOCRUZ
Paulo Henrique Martins,UFPE
Ricardo Antunes,UNICAMP
Rogério Bastos Arantes,PUC/SP
Tamara Benakouche,UFSC
João Trajano Sento Sé  - Editor,UERJ
Emerson Alessandro Giumbelli,UFRJ
José Sérgio Leite Lopes,MN/UFRJ
Maria Celi Scalon,IUPERJ
Jane Felipe Beltrão,UFPA
João Emanuel Evangelista de Oliveira,UFRN
Jorge Zaverucha,UFPE
Lívio Sansone,UFBA
Lúcia Bógus,PUC/SP
Helena Bomeny,CPDOC-FGV/RJ
Paulo Roberto Neves Costa,UFPR
Roberto Grün,UFSCar
Abílio Baeta Neves,UFRGS
Marcelo Medeiros,UFPE
Maria Arminda do Nascimento Arruda,USP
Miriam Pilar Grossi,UFSC
Antonio Flávio Pierucci,USP
César Barreira,UFC
Cláudia Fonseca,UFRGS
Gabriel Cohn,USP
Gilberto Velho,MN/UFRJ
Luiz Werneck Viana,IUPERJ
Roque de Barros Laraia,UnB
Ari Pedro Oro,UFRGS
Carlos Benedito Martins,UnB
Cícero Araújo,USP
Maria Alice Rezende de Carvalho,IUPERJ
Ana Luiza Carvalho da Rocha,UFRGS
Clarice Peixoto,UERJ
Mauro Luiz Rovai,UNICAMP
Miguel Chaia,PUC-SP
Paulo Menezes,USP
Alice Paiva Abreu,UFRJ
Hélgio Trindade,UFRGS
Josefa Salete Cavalcanti,UFPE
Lourdes Bandeira,UnB
Lourdes Sola,USP
Tullo Vigevani,UNESP
Celi Pinto,UFRGS
Moacir Palmeira,MN/UFRJ
Otavio Soares Dulci,UFMG
Gildo Marçal Brandão,USP - Editor
George Avelino,FGV-SP
Júlio Assis Simões,USP
Maria Helena Oliva Augusto,USP
Miguel Wady Chaia,PUC/SP Assessor editorial
Alex Fiúza de Melo,UFPA
Anete Brito Leal Ivo,UFBA
Bruno Wanderley Reis,UFMG
Fernando Antonio Azevedo,UFSCar
Guita Grun Debert,UNICAMP
Lilia Schwarcz,USP
Luiz Fernando Dias Duarte,MN/UFRJ
Marco Aurélio Nogueira,UNESP
Marcos Chor Maio,FIOCRUZ
Paulo Henrique Martins,UFPE
Ricardo Benzaquen de Araújo,IUPERJ
Ricardo Antunes UNICAMP)
Rogério Bastos Arantes,PUC/SP
Ruben George Oliven,UFRGS
Tamara Benakouche,UFSC
João Trajano Sento Sé  - Editor,UERJ
César Guimarães,IUPERJ
Emerson Alessandro Giumbelli,UFRJ
José Sérgio Leite Lopes,MN/UFRJ
Maria Celi Scalon,IUPERJ
Gustavo Lins Ribeiro,UnB
Jane Felipe Beltrão,UFPA
João Emanuel Evangelista de Oliveira,UFRN
Jorge Zaverucha,UFPE
Lívio Sansone,UFBA
Lúcia Bógus,PUC/SP
Helena Bomeny,CPDOC-FGV/RJ
Magda Almeida Neves,PUC/MG
Paulo Roberto Neves Costa,UFPR
Roberto Grün,UFSCar
Carlos Benedito Martins,UnB
Márcio Ferreira da Silva,USP
Maria Alice Rezende de Carvalho,IUPERJ
Vera Chaia,PUC-SP
Gláucio Dillon Soares,IUPERJ
Hélgio Trindade,UFRGS
Irlys Barreira,UFC
Maria Arminda Nascimento Arruda,USP
Roberto Cardoso de Oliveira,UnB
Sérgio Miceli,USP
Yvonne Maggie,UFRJ
Álvaro de Vita,USP
Elide Rugai Bastos,UNICAMP
Gilberto Velho,MN/UFRJ
José Ricardo Ramalho (UFRJ
Andréa Barbosa,USP
Bela Feldman Bianco,UNICAMP
Caleb de Faria Alves,UFRGS
Deise Lucy Oliveira Montardo,UFAM
Rogério Proença Leite,UFS
Afrânio Raul Garcia,EHESS
Benício Schmidt,UnB
Rafael Villa,USP
Russel Parry Scott,UFPE
Sebastião Velasco e Cruz,UNICAMP
Mônica Herz,PUC/RJ
Bila Sorj,UFRJ
Lilia Schwarcz,USP
Maria Hermínia Tavares de Almeida,USP
Elide Rugai Bastos,UNICAMP
Eduardo César Marques,USP
Leopoldo Pinto Waizbort,USP
Maria Filomena Gregori,UNICAMP
Assessoria Editorial
Miguel Chaia,PUC-SP
José Ricardo Ramalho,UFRJ
João Trajano de Lima Sento Sé,UERJ
Luiz Fernando Dias Duarte,UFRJ
Maria Alice Rezende de Carvalho,IUPERJ
Ricardo Benzaquen Araújo,IUPERJ
Edna Castro,UFPA
Gisela Black Taschner,FGV-SP
Ilza Araújo Leão de Andrade,UFRN
Jessé José de Souza,IUPERJ
Julio Assis Simões,USP
Marcelo Gantus Jasmim,IUPERJ
Maria José Carneiro,UFRRJ
Mauro Koury,UFPB
Milton Lahuerta,UNESP
Miriam Pillar Grossi,UFSC
Omar Ribeiro Thomaz,UNICAMP
Roberto Grün,UFSCar
Roberto Kant de Lima,UFF
Valeriano Mendes Ferreira da Costa,UNICAMP
Vera Chaia,PUC-SP
Carmen Rial,UFSC
Ethel Kosminsky,UNESP
Guita Grin Debert,UNICAMP
Helena Bomeny,UERJ
Lívio Sansone,UFBA
Magda Maria Neves,PUC-MG
Marcos Chor Maio,FIOCRUZ
Rubem Barbosa Filho,UFJF
Walquíria Leão Rego,UNICAMP
Washington Bonfim,UFPI
Carlos Benedito Martins,UnB
Ilse Scherer-Warren,UFSC
Marcio Ferreira da Silva,USP
Renato Lessa,IUPERJ
César Guimarães,IUPERJ
Gilberto Velho,MN/UFRJ
Maria Andréa Loyola,UERJ
Maria Nazareth Baudel Wanderley,UFPE
Otavio Soares Dulci,UFMG
Reginaldo Prandi,USP
Roque de Barros Laraia,UnB
Hélgio Trindade,UFRGS
Licia do Prado Valladares,IUPERJ
Renato Ortiz,UNICAMP
Ruben George Oliven,UFRGS
Sergio Miceli,USP
Prêmio “José Albertino Rodrigues”
Caleb Faria Alves,UFSC
Carlos Fausto,UFRJ
Fernanda Arêas Peixoto,USP
Heloisa Pontes,UNICAMP
Irlys Barreira,UFC
Joanildo Burity,FUNDAJ
José Eisenberg,IUPERJ
Josefa Salete Cavalcanti,UFPE
Leila da Costa Ferreira,UNICAMP
Maria Helena Oliva Augusto,USP
Maria Stela Grossi Porto,UnB
Maria Teresa Miceli Kerbauy,UNESP
Maria Teresa Sadek,USP
Ricardo Antunes,UNICAMP
Robin Wright,UNICAMP
Sergio Adorno,USP
Yvonne Maggie,UFRJ
Ana Luiza Carvalho da Rocha,UFRGS
Bela Feldman-Bianco,UNICAMP
Hector Alimonda,UFRRJ
Paulo Menezes,USP
Renato Athias,UFPE
Brasílio Sallum Júnior,USP
Gilberto Velho,UFRJ
Renato Lessa,IUPERJ
Alzira Alves de Abreu,FGV-RJ
Guita Grin Debert,UNICAMP
Hélgio Trindade,UFRGS
Inaiá M. Moreira de Carvalho,UFBA
Sérgio Adorno,USP
Carlos Benedito Martins,UnB
Maria Regina Soares de Lima,IUPERJ
Miriam Pilar Grossi,UFSC
Sedi Hirano,USP
Antônio Flávio Pierucci,USP
Fernanda Arêas Peixoto,Unesp USP final de 2001 até 2002
Gildo Marçal Brandão,USP
Heloísa Pontes,UNICAMP
Ariosvaldo da Silva Diniz,UFPB
Brasília Carlos Ferreira,UFRN
Carlos Caroso,UFBA
Daniel Lins,UFC
Eli Diniz,UFRJ
Fernando Limongi,USP
Ilka Boaventura Leite,UFSC
Márcio Silva,USP
Maria Antonieta Leopoldi,UFF
Maria da Glória Bonelli,UFSCar
Maria de Fátima Junho Anastasia,UFMG
Maria Francisca Pinheiro,UnB
Mariza Peirano,UnB
Regina Reyes Novaes,UFRJ
Ricardo Antunes,UNICAMP
Charles Pessanha  - editor,IUPERJ
José Ricardo Ramalho,UFRJ
Luiz Fernando Dias Duarte,UFRJ
Ricardo Benzaquén de Araújo,IUPERJ
André Singer,USP
Clarissa Baeta Neves,UFRGS
Edna Castro,UFPA
Fernanda Arêas Peixoto,Unesp USP
John Dawsey,USP
Jorge Zaverucha,UFPE
Leonilde Sérvolo de Medeiros,UFRRJ
Marcos Lanna,UFPR
Maria Celina D’Araújo,UFF
Gisela Black Taschner,FGV-SP
Gustavo Lins Ribeiro,UnB
Renato Boschi,IUPERJ
Sebastião Velasco e Cruz,UNICAMP
Silke Weber,UFPE
Yvonne Maggie,UFRJ
Ana Maria Galano,UFRJ
Anita Simis,UNESP/Araraquara
Clarice Peixoto,UERJ
Lizabete Coradini,UFRN
Júri do Concurso CNPq-ANPOCS de Teses Universitárias e Obras Científicas,somente 2001
Argelina Cheibub Figueiredo,CEBRAP
Elisa Pereira Reis,UFRJ
Irlys Barreira,UFC
Lúcia Maria Bógus,PUC-SP
Roberto Motta,UFPE
Maria Helena Oliva Augusto,USP
Maria Hermínia Tavares de Almeida,USP
Marisa Corrêa,UNICAMP
Roberto Cardoso de Oliveira,UnB
Marcia Izabel Valladão de Carvalho,UnB
Maria Teresa Miceli Kerbauy,UNESP / Araraquara
Júri do Concurso CNPQ-ANPOCS Prêmio “José Albertino Rodrigues”,somente 2002
Ari Pedro Oro,UFRGS
Irlys Barreira,UFC
Julio Cezar Melatti,UnB
Lúcia Bógus,PUC-SP
Maria Helena Oliva Augusto,USP
Maria Hermínia Tavares de Almeida,USP
Maria Izabel Valladão,UnB
Maria Tereza Miceli Kerbauy,UNESP/Araraquara
Peter Fry,UFRJ
Regina Morel,UFRJ
Roberto Motta,UFPE
Elisa Pereira Reis,UFRJ
Otávio Guilherme Velho,UFRJ
Reginaldo Prandi,USP
Wanderley Guilherme dos Santos,Univ. Cândido Mendes IUPERJ
Yvonne Maggie
Maria Regina Soares
Sergio Miceli
Ana Maria Fernandes
Carlos Fausto
Céli Pinto
Irlys de Alencar Firmo Barreira
Elide Rugai Bastos
Maria D ‘ Alva Gil Kinzo
Sylvia Caiuby Novaes
Alba Zaluar
Alcida Rita Ramos
Antônio Flávio Pierucci
Ary Minella
Cláudia Lee Fonseca
Evelina Dagnino
Fabiano Santos
Inaiá Moreira de Carvalho
Jacob Carlos de Lima
Luciano Oliveira
Marcos Lanna
Marcus Faro de Castro
Maria Aracy Lopes da Silva
Maria Mercês Somarriba
Charles Pessanha
Eli Diniz
Maria Alice Resende de Carvalho
Roberto Kant de Lima
Breno A. Souto Maior Fontes
Carlos Caroso
Dulce Pandolfi
Heraldo Maués
Ilza Araújo Leão de Andrade
Leandro Piquet Carneiro
Leila Maria da Silva Blass
Maria Cecília Mariz
Maria Lúcia Maciel
Carlos Benedito Martins
Elisa Reis
Fábio Wanderlcy Reis
Maria Hermínia Tavares de Almeida
Mariza Corrêa
